FDI,ADM,APB,FPB,EDC,FDS,ECR,FCR,protocol
0,0,0,0,0,1,1,1,FDI
1,1,1,1,1,0,1,0,FDI
1,1,1,1,1,1,1,1,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
1,0,0,0,1,1,1,0,FDI
0,0,0,0,0,0,0,0,FDI
1,1,1,1,1,1,1,1,FDI
1,1,0,1,1,1,0,1,FDI
0,0,0,0,0,0,0,0,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,0,1,0,FDI
1,1,1,1,0,0,1,0,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,1,1,1,FDI
1,1,0,1,0,1,0,0,FDI
1,1,0,1,1,1,1,1,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,1,1,0,1,FDI
0,1,0,1,0,0,0,0,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,1,1,1,FDI
1,0,0,1,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,1,0,1,0,FDI
0,0,0,0,1,0,1,0,FDI
1,1,0,1,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
1,1,1,1,1,1,0,0,FDI
1,1,1,1,1,1,1,1,FDI
1,0,1,1,1,1,1,1,FDI
1,0,0,0,1,1,0,1,FDI
0,0,0,1,1,1,1,0,FDI
0,0,0,0,1,0,0,0,FDI
1,1,1,1,1,1,1,1,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
1,0,0,1,0,1,0,1,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,1,1,0,FDI
1,1,0,1,1,1,1,0,FDI
1,0,0,1,1,1,1,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
1,1,0,1,0,0,1,0,FDI
0,0,0,0,1,0,0,0,FDI
1,1,1,1,1,1,0,1,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,1,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,1,0,0,0,FDI
1,1,0,0,1,1,1,1,FDI
1,1,0,0,1,0,0,0,FDI
1,1,0,0,1,1,1,1,FDI
1,1,1,1,1,1,1,1,FDI
0,0,0,1,1,1,1,0,FDI
1,1,0,0,1,1,1,0,FDI
1,1,0,1,1,1,1,1,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,0,1,0,FDI
1,0,0,1,0,1,0,1,FDI
1,1,1,1,0,1,1,1,FDI
0,0,0,0,0,0,0,0,FDI
1,0,1,1,1,1,0,1,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,0,1,0,1,FDI
0,0,0,0,1,1,1,0,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,1,1,1,FDI
1,1,0,1,1,1,1,1,FDI
1,1,1,1,1,1,1,1,FDI
1,1,0,0,1,1,1,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,1,1,1,FDI
1,0,1,1,1,1,1,1,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,1,1,1,FDI
0,0,0,0,0,0,1,0,FDI
0,0,1,0,1,0,1,0,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,1,1,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
1,0,0,1,1,1,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,1,1,0,0,FDI
1,1,0,1,0,1,0,0,FDI
1,1,0,0,0,1,0,0,FDI
1,1,0,1,0,0,0,0,FDI
1,1,0,1,0,1,1,0,FDI
1,1,0,1,0,0,0,0,FDI
0,1,0,0,0,0,0,0,FDI
1,1,0,1,1,1,0,0,FDI
0,1,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,1,0,0,0,0,0,0,FDI
1,1,0,1,1,1,0,0,FDI
1,1,1,1,1,1,0,0,FDI
1,1,0,1,0,1,1,0,FDI
1,1,0,1,0,1,0,0,FDI
1,1,1,1,0,1,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,1,0,0,0,1,0,0,FDI
1,1,0,1,0,0,0,0,FDI
0,1,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,1,0,0,0,0,0,0,FDI
0,1,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,1,0,0,1,1,0,0,FDI
0,1,0,0,0,1,0,0,FDI
0,1,0,0,1,1,0,0,FDI
0,1,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
1,1,0,0,0,1,0,0,FDI
0,1,0,0,0,1,0,0,FDI
0,0,0,0,1,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,1,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,1,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,1,0,0,1,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,1,0,0,0,1,0,0,FDI
0,1,1,0,0,1,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,1,0,0,0,FDI
0,1,0,0,0,0,0,0,FDI
1,1,0,0,0,1,0,0,FDI
1,1,0,1,0,1,0,0,FDI
0,1,0,1,1,1,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,1,0,0,0,1,0,0,FDI
0,1,0,0,1,1,0,0,FDI
0,1,0,0,0,0,0,0,FDI
0,1,0,0,0,0,0,0,FDI
0,1,0,0,0,0,0,0,FDI
0,1,0,0,1,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,1,0,0,1,1,0,0,FDI
0,1,0,1,1,1,0,0,FDI
1,1,0,0,0,1,0,0,FDI
1,1,1,1,0,1,1,0,FDI
0,0,0,0,0,0,0,0,FDI
1,1,0,0,1,1,0,0,FDI
0,0,0,0,1,0,0,0,FDI
0,0,0,0,1,0,0,0,FDI
0,0,0,0,1,0,0,0,FDI
1,0,0,0,1,1,1,0,FDI
1,1,1,1,1,1,1,0,FDI
1,1,1,1,1,1,0,0,FDI
1,1,0,0,1,1,1,0,FDI
0,1,0,0,1,1,1,0,FDI
0,1,0,1,1,1,1,0,FDI
0,0,0,0,1,0,0,0,FDI
1,1,0,1,1,1,1,0,FDI
0,1,0,0,0,0,0,0,FDI
0,1,0,0,1,1,1,0,FDI
0,0,0,0,1,0,0,0,FDI
1,1,1,1,1,1,1,0,FDI
0,0,1,1,0,1,0,0,FDI
0,0,0,0,1,0,0,0,FDI
0,1,0,0,1,1,1,1,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,1,0,0,FDI
0,1,0,0,1,0,0,0,FDI
0,0,0,0,1,1,0,0,FDI
1,1,1,1,1,1,1,1,FDI
1,1,1,1,1,1,1,0,FDI
1,1,1,1,1,1,0,0,FDI
0,1,0,0,1,1,0,0,FDI
0,0,0,0,0,0,0,0,FDI
0,0,1,0,0,1,0,0,FDI
1,1,1,1,1,1,1,0,FDI
1,1,0,1,0,1,0,0,FDI
1,1,1,1,1,1,0,0,FDI
1,1,1,1,0,1,0,1,FDI
1,1,1,1,1,1,0,1,FDI
1,1,1,1,1,1,1,0,FDI
1,1,1,1,0,1,1,0,FDI
1,1,1,1,1,0,0,0,FDI
0,0,0,0,1,0,0,0,FDI
0,0,0,0,1,0,0,0,FDI
1,1,1,1,1,1,0,0,FDI
1,1,1,1,1,1,0,0,FDI
0,1,0,0,0,0,0,0,FDI
1,1,1,1,0,1,0,0,FDI
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
1,1,0,1,1,1,0,1,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,1,0,0,1,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,1,EDC
0,0,0,0,0,0,0,0,EDC
1,0,0,0,1,1,0,1,EDC
0,0,0,0,1,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,1,1,1,1,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
1,0,0,0,1,1,0,1,EDC
0,1,0,0,0,0,0,0,EDC
0,1,0,0,0,0,0,0,EDC
0,1,0,0,1,1,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
1,1,1,1,1,1,1,1,EDC
0,0,0,0,1,0,0,0,EDC
0,1,0,0,0,0,0,0,EDC
0,1,0,0,1,1,1,0,EDC
0,0,0,0,1,0,0,0,EDC
1,1,1,1,1,1,1,1,EDC
1,1,1,0,1,1,1,1,EDC
1,1,0,1,1,1,0,1,EDC
0,1,0,0,1,1,0,0,EDC
0,0,0,0,1,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
1,1,0,1,1,1,0,1,EDC
1,1,0,1,1,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
0,1,0,0,1,0,1,0,EDC
0,0,0,0,1,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
1,1,1,0,1,1,0,0,EDC
1,0,0,1,1,0,1,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,1,0,1,1,1,0,0,EDC
1,1,1,1,1,1,0,1,EDC
1,1,0,1,1,1,0,0,EDC
1,0,1,1,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
1,1,0,1,0,1,1,1,EDC
0,0,0,0,1,1,0,0,EDC
0,0,0,1,1,1,0,0,EDC
1,1,1,1,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
1,1,0,1,1,0,0,0,EDC
1,0,0,0,1,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,1,0,1,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
1,1,1,1,1,1,0,1,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,1,1,0,1,EDC
1,1,0,1,1,1,0,1,EDC
0,0,0,0,0,1,0,0,EDC
