FDI,ADM,APB,FPB,EDC,FDS,ECR,FCR,protocol
0,1,0,0,0,0,0,1,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,1,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,1,0,0,EDC
1,0,0,0,0,1,0,0,EDC
0,0,1,1,1,1,0,0,EDC
0,1,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
1,0,0,1,1,1,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,1,1,0,0,EDC
1,1,0,1,0,1,0,0,EDC
1,1,0,0,0,1,0,0,EDC
1,1,0,1,0,0,0,0,EDC
1,1,0,1,0,1,1,0,EDC
1,1,0,1,0,0,0,0,EDC
0,1,0,0,0,0,0,0,EDC
1,1,0,1,1,1,0,0,EDC
0,1,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,1,0,0,0,0,0,0,EDC
1,1,0,1,1,1,0,0,EDC
1,1,1,1,1,1,0,0,EDC
1,1,0,1,0,1,1,0,EDC
1,1,0,1,0,1,0,0,EDC
1,1,1,1,0,1,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,1,0,0,0,1,0,0,EDC
1,1,0,1,0,0,0,0,EDC
0,1,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,1,0,0,0,0,0,0,EDC
0,1,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,1,0,0,1,1,0,0,EDC
0,1,0,0,0,1,0,0,EDC
0,1,0,0,1,1,0,0,EDC
0,1,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
1,1,0,0,0,1,0,0,EDC
0,1,0,0,0,1,0,0,EDC
0,0,0,0,1,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,1,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,1,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,1,0,0,1,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,1,0,0,0,1,0,0,EDC
0,1,1,0,0,1,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
0,1,0,0,0,0,0,0,EDC
1,1,0,0,0,1,0,0,EDC
1,1,0,1,0,1,0,0,EDC
0,1,0,1,1,1,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,1,0,0,0,1,0,0,EDC
0,1,0,0,1,1,0,0,EDC
0,1,0,0,0,0,0,0,EDC
0,1,0,0,0,0,0,0,EDC
0,1,0,0,0,0,0,0,EDC
0,1,0,0,1,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,1,0,0,1,1,0,0,EDC
0,1,0,1,1,1,0,0,EDC
1,1,0,0,0,1,0,0,EDC
1,1,1,1,0,1,1,0,EDC
0,0,0,0,0,0,0,0,EDC
1,1,0,0,1,1,0,0,EDC
0,0,0,0,1,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
1,0,0,0,1,1,1,0,EDC
1,1,1,1,1,1,1,0,EDC
1,1,1,1,1,1,0,0,EDC
1,1,0,0,1,1,1,0,EDC
0,1,0,0,1,1,1,0,EDC
0,1,0,1,1,1,1,0,EDC
0,0,0,0,1,0,0,0,EDC
1,1,0,1,1,1,1,0,EDC
0,1,0,0,0,0,0,0,EDC
0,1,0,0,1,1,1,0,EDC
0,0,0,0,1,0,0,0,EDC
1,1,1,1,1,1,1,0,EDC
0,0,1,1,0,1,0,0,EDC
0,0,0,0,1,0,0,0,EDC
0,1,0,0,1,1,1,1,EDC
1,1,1,1,1,1,1,1,EDC
1,1,1,1,1,1,0,0,EDC
0,1,0,0,1,0,0,0,EDC
0,0,0,0,1,1,0,0,EDC
1,1,1,1,1,1,1,1,EDC
1,1,1,1,1,1,1,0,EDC
1,1,1,1,1,1,0,0,EDC
0,1,0,0,1,1,0,0,EDC
0,0,0,0,0,0,0,0,EDC
0,0,1,0,0,1,0,0,EDC
1,1,1,1,1,1,1,0,EDC
1,1,0,1,0,1,0,0,EDC
1,1,1,1,1,1,0,0,EDC
1,1,1,1,0,1,0,1,EDC
1,1,1,1,1,1,0,1,EDC
1,1,1,1,1,1,1,0,EDC
1,1,1,1,0,1,1,0,EDC
1,1,1,1,1,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
0,0,0,0,1,0,0,0,EDC
1,1,1,1,1,1,0,0,EDC
1,1,1,1,1,1,0,0,EDC
0,1,0,0,0,0,0,0,EDC
1,1,1,1,0,1,0,0,EDC
1,0,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,1,0,0,0,0,0,FCR
0,0,0,0,1,1,1,1,FCR
1,1,0,1,0,0,1,0,FCR
1,1,0,1,1,1,1,0,FCR
0,0,0,0,1,1,0,1,FCR
1,1,1,1,1,1,1,1,FCR
0,0,0,0,1,0,0,0,FCR
1,0,0,0,1,1,1,0,FCR
0,0,0,0,1,0,0,0,FCR
1,1,1,1,1,1,1,1,FCR
1,1,0,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,0,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,0,1,0,FCR
0,0,0,0,1,1,0,1,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,1,0,0,0,FCR
1,0,1,1,1,1,1,1,FCR
1,1,0,1,0,1,0,0,FCR
1,1,1,1,1,1,1,1,FCR
1,1,0,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,0,0,1,1,1,1,1,FCR
1,1,1,0,1,1,1,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,1,0,0,0,FCR
0,0,0,0,1,0,1,0,FCR
0,0,0,0,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
0,0,0,0,1,1,1,1,FCR
0,0,0,0,1,0,1,0,FCR
0,0,0,0,1,0,0,0,FCR
0,0,0,0,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,0,1,1,1,1,1,FCR
1,1,0,0,1,1,1,1,FCR
1,0,0,1,1,1,1,1,FCR
0,0,0,0,0,0,0,0,FCR
1,0,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,0,1,1,1,1,1,1,FCR
0,0,0,0,1,1,0,1,FCR
1,0,0,1,1,1,1,1,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,1,0,0,0,FCR
1,1,0,0,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,0,0,0,1,1,1,1,FCR
1,1,0,1,0,1,0,1,FCR
1,0,0,1,0,0,0,0,FCR
1,1,1,1,1,1,1,1,FCR
0,0,0,0,1,1,1,0,FCR
0,0,0,0,1,1,0,1,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,1,1,0,0,FCR
0,0,0,0,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,0,0,0,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
0,0,0,0,1,1,0,0,FCR
0,0,0,0,0,0,0,0,FCR
1,0,0,0,1,1,1,0,FCR
1,1,0,1,1,1,0,1,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,1,1,0,1,FCR
0,0,0,0,0,0,0,0,FCR
1,1,0,0,1,1,1,0,FCR
1,1,0,1,0,1,0,0,FCR
1,0,0,0,1,1,0,0,FCR
1,1,1,1,1,1,1,1,FCR
0,0,0,0,0,0,0,0,FCR
0,1,0,0,0,1,0,0,FCR
1,1,1,1,1,1,0,0,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
0,1,0,1,1,1,0,0,FCR
1,1,1,1,1,1,1,0,FCR
0,1,0,1,1,1,1,1,FCR
0,0,0,0,1,1,0,0,FCR
0,0,0,0,1,1,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,0,1,0,0,FCR
1,1,1,1,0,1,0,1,FCR
1,1,1,1,0,1,0,0,FCR
0,0,0,0,0,0,0,0,FCR
1,1,1,1,1,1,0,1,FCR
0,0,0,1,1,1,0,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,0,1,1,1,0,1,FCR
1,1,1,1,0,1,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,1,0,0,FCR
0,1,0,0,0,1,0,0,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
0,1,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,1,0,0,0,1,0,0,FCR
1,1,1,1,0,1,0,1,FCR
0,0,0,0,0,1,0,0,FCR
1,1,0,0,1,1,0,0,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,0,1,0,0,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,0,1,1,1,FCR
0,1,0,0,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,0,1,1,1,FCR
1,1,0,1,1,1,1,1,FCR
1,1,1,1,0,1,0,0,FCR
0,1,0,0,0,1,0,0,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,0,1,1,1,FCR
1,1,1,1,0,1,1,1,FCR
1,1,1,1,0,1,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,1,0,0,FCR
0,0,0,0,0,0,0,0,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,0,0,0,1,1,0,FCR
1,1,0,0,0,1,1,0,FCR
1,1,1,1,0,1,1,0,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
1,1,1,1,0,1,1,0,FCR
1,1,0,1,1,1,1,1,FCR
1,1,0,1,1,1,1,1,FCR
1,1,1,0,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,0,1,1,1,1,1,FCR
0,0,0,0,0,0,0,0,FCR
0,1,0,0,0,1,0,0,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,0,FCR
0,1,0,0,1,1,0,0,FCR
1,1,1,1,1,1,1,0,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,0,1,FCR
1,1,1,1,1,1,1,0,FCR
1,1,1,1,0,1,1,0,FCR
0,1,0,0,0,0,0,0,FCR
1,1,0,1,0,1,0,0,FCR
0,1,0,0,0,1,0,0,FCR
1,1,1,1,0,1,0,1,FCR
1,1,1,1,0,1,0,0,FCR
1,1,1,1,1,1,1,1,FCR
1,1,0,1,1,1,1,1,FCR
1,1,1,1,0,1,0,1,FCR
0,1,0,0,1,0,1,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,1,0,1,0,1,0,0,FCR
1,1,1,1,1,1,0,0,FCR
1,1,1,1,1,1,1,1,FCR
0,1,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,1,0,0,0,0,0,0,FCR
0,1,0,1,0,1,0,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
0,1,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,1,0,0,1,1,1,1,FCR
0,1,0,0,0,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,0,0,0,1,0,0,0,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,0,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,1,1,FCR
1,1,1,1,1,1,0,1,FCR
0,0,0,0,1,0,0,0,FCR
0,1,0,0,1,0,0,0,FCR
0,0,0,0,0,0,0,0,FCR
0,1,1,1,1,1,0,0,FCR
0,1,0,0,0,0,0,0,FCR
